product,product_group,facility_type,reporting_month,High_Transmission_Preparation,zone_type,beginning_balance,quantity_received,quantity_dispensed,total_losses_and_adjustments,stock_in_hand,months_of_stock,stock_status,amc,quantity_approved
PYRA-COMP,PYRA,HEALTH CENTER,May,YES,URBAN,3510.0,6.0,437.0,246,1426.0,9.4,Overstock,151.0,0.0
ACT-GC,ACT,HEALTH CENTER,May,YES,URBAN,89.0,1.0,57.0,209,65.0,3.2,Adequate,20.0,620.0
ACT-AD,ACT,HEALTH CENTER,February,NO,RURAL,4125.0,2604.0,1423.0,-179,6554.0,4.5,Adequate,1464.0,13.0
ART-SUP,ART,HEALTH CENTER,August,YES,RURAL,20.0,0.0,2.0,-456,185.0,,Unknown,0.0,0.0
RDT,DIAG,HEALTH CENTER,February,NO,URBAN,2243.0,0.0,535.0,420,2167.0,3.7,Adequate,583.0,319.0
ACT-SC,ACT,HEALTH CENTER,May,YES,RURAL,1346.0,0.0,82.0,-278,600.0,18.2,Overstock,33.0,2.0
ACT-INF,ACT,HEALTH CENTER,November,NO,URBAN,796.0,418.0,244.0,598,453.0,20.6,Overstock,22.0,12.0
ART-INJ,ART,HEALTH CENTER,August,YES,RURAL,719.0,43.0,293.0,112,2401.0,5.7,Overstock,420.0,424.0
ART-INJ,ART,HEALTH CENTER,February,NO,RURAL,885.0,0.0,268.0,461,541.0,6.6,Overstock,82.0,2398.0
RDT,DIAG,HEALTH CENTER,May,YES,RURAL,1.0,0.0,0.0,-30,2.0,,Unknown,0.0,0.0
ACT-INF,ACT,HEALTH CENTER,August,YES,RURAL,173.0,0.0,42.0,138,852.0,213.0,Overstock,4.0,499.0
ART-INJ,ART,HEALTH CENTER,August,YES,RURAL,3435.0,2.0,875.0,271,1321.0,2.7,Low,489.0,2677.0
ITN,PREV,HOSPITAL,November,NO,URBAN,211.0,0.0,17.0,-745,173.0,4.8,Adequate,36.0,241.0
ART-INJ,ART,HOSPITAL,November,NO,URBAN,959.0,31.0,176.0,-483,779.0,14.7,Overstock,53.0,25.0
QUIN,SP,HEALTH CENTER,August,YES,RURAL,23.0,0.0,51.0,-209,1.0,0.0,Stockout,72.0,1.0
ACT-GC,ACT,HEALTH CENTER,February,NO,RURAL,983.0,0.0,225.0,-109,1166.0,13.0,Overstock,90.0,1106.0
ART-SUP,ART,HEALTH CENTER,February,NO,RURAL,56.0,399.0,69.0,712,727.0,9.4,Overstock,77.0,0.0
ITN,PREV,HEALTH CENTER,August,YES,URBAN,3461.0,0.0,827.0,-234,2041.0,2.5,Low,802.0,2287.0
ACT-GC,ACT,HEALTH CENTER,May,YES,RURAL,3960.0,0.0,558.0,8,1227.0,9.7,Overstock,126.0,275.0
ACT-INF,ACT,HEALTH CENTER,May,YES,URBAN,7757.0,1215.0,1688.0,86,5216.0,3.6,Adequate,1441.0,405.0
SP,SP,HEALTH CENTER,February,NO,URBAN,432.0,0.0,98.0,-407,153.0,1.7,Low,92.0,24.0
PYRA-SAC,PYRA,HEALTH CENTER,November,NO,RURAL,4617.0,54.0,459.0,-104,3797.0,12.7,Overstock,299.0,78.0
ACT-SC,ACT,HEALTH CENTER,February,NO,RURAL,379.0,293.0,606.0,-256,325.0,0.9,Critical,351.0,2051.0
ACT-GC,ACT,HEALTH CENTER,May,YES,RURAL,215.0,25.0,400.0,133,370.0,1.1,Low,336.0,1188.0
PYRA-COMP,PYRA,HEALTH CENTER,November,NO,RURAL,2748.0,35.0,776.0,-368,1642.0,3.7,Adequate,439.0,9736.0
RDT,DIAG,HEALTH CENTER,February,NO,URBAN,722.0,0.0,61.0,-158,367.0,6.9,Overstock,53.0,734.0
ART-SUP,ART,HEALTH CENTER,May,YES,URBAN,12.0,0.0,50.0,-68,39.0,0.3,Critical,114.0,0.0
ACT-GC,ACT,HEALTH CENTER,August,YES,URBAN,1470.0,10.0,165.0,160,1300.0,12.9,Overstock,101.0,59.0
SP,SP,HEALTH CENTER,November,NO,RURAL,1166.0,44.0,766.0,-246,1867.0,2.9,Low,644.0,224.0
ACT-SC,ACT,HEALTH CENTER,August,YES,RURAL,1013.0,32.0,568.0,-34,1007.0,1.3,Low,779.0,707.0
ACT-AD,ACT,HEALTH CENTER,February,NO,RURAL,1623.0,505.0,1202.0,235,1726.0,1.9,Low,886.0,6403.0
ART-INJ,ART,HEALTH CENTER,February,NO,RURAL,5416.0,0.0,805.0,141,2971.0,3.8,Adequate,780.0,269.0
ITN,PREV,HEALTH CENTER,August,YES,URBAN,224.0,3.0,194.0,75,600.0,3.0,Adequate,200.0,2059.0
ACT-GC,ACT,HEALTH CENTER,February,NO,RURAL,2609.0,0.0,708.0,912,495.0,0.5,Critical,954.0,1361.0
ART-SUP,ART,HEALTH CENTER,May,YES,URBAN,409.0,0.0,164.0,200,95.0,1.6,Low,60.0,742.0
SP,SP,HEALTH CENTER,August,YES,RURAL,4648.0,663.0,1309.0,-259,4935.0,5.0,Adequate,983.0,92.0
ACT-INF,ACT,HEALTH CENTER,August,YES,RURAL,3173.0,46.0,600.0,177,3621.0,27.0,Overstock,134.0,444.0
