product_primary_name,processing_periods_name,facility_type_name,quantity_requested,quantity_approved,pack_size,dispensing_unit,allocation_gap
ACT-GC,2025-05-01,HEALTH CENTER,,620.0,30,BLISTER,620.0
ACT-AD,2024-02-01,HEALTH CENTER,,13.0,30,BLISTER,13.0
ACT-SC,2024-05-01,HEALTH CENTER,,2.0,30,BLISTER,2.0
ACT-INF,2025-11-01,HEALTH CENTER,,12.0,30,BLISTER,12.0
ACT-INF,2024-08-01,HEALTH CENTER,,499.0,30,BLISTER,499.0
ACT-GC,2024-02-01,HEALTH CENTER,,1106.0,30,BLISTER,1106.0
ACT-GC,2025-05-01,HEALTH CENTER,,275.0,30,BLISTER,275.0
ACT-INF,2024-05-01,HEALTH CENTER,,405.0,30,BLISTER,405.0
ACT-SC,2024-02-01,HEALTH CENTER,,2051.0,30,BLISTER,2051.0
ACT-GC,2024-05-01,HEALTH CENTER,,1188.0,30,BLISTER,1188.0
ACT-GC,2025-08-01,HEALTH CENTER,,59.0,30,BLISTER,59.0
ACT-SC,2025-08-01,HEALTH CENTER,,707.0,30,BLISTER,707.0
ACT-AD,2025-02-01,HEALTH CENTER,2610.0,6403.0,30,BLISTER,3793.0
ACT-GC,2024-02-01,HEALTH CENTER,302.0,1361.0,30,BLISTER,1059.0
ACT-INF,2024-08-01,HEALTH CENTER,810.0,444.0,30,BLISTER,-366.0
ACT-INF,2025-05-01,HEALTH CENTER,,25.0,30,BLISTER,25.0
ACT-AD,2025-05-01,HEALTH CENTER,,10.0,30,BLISTER,10.0
ACT-INF,2025-11-01,HEALTH CENTER,575.0,2086.0,30,BLISTER,1511.0
ACT-AD,2024-11-01,DISTRICT HOSPITAL,,13294.0,30,BLISTER,13294.0
ACT-AD,2024-05-01,HEALTH CENTER,,154.0,30,BLISTER,154.0
ACT-INF,2025-08-01,HEALTH CENTER,,0.0,30,BLISTER,0.0
ACT-INF,2024-11-01,HEALTH CENTER,,11.0,30,BLISTER,11.0
ACT-GC,2025-02-01,HEALTH CENTER,983.0,3.0,30,BLISTER,-980.0
ACT-SC,2024-05-01,HEALTH CENTER,,728.0,30,BLISTER,728.0
ACT-SC,2025-11-01,HEALTH CENTER,,0.0,30,BLISTER,0.0
ACT-INF,2024-11-01,HEALTH CENTER,,2447.0,30,BLISTER,2447.0
ACT-SC,2025-11-01,HEALTH CENTER,,1372.0,30,BLISTER,1372.0
ACT-AD,2024-02-01,HEALTH CENTER,,31.0,30,BLISTER,31.0
ACT-GC,2024-02-01,HEALTH CENTER,,8.0,30,BLISTER,8.0
ACT-GC,2025-11-01,HEALTH CENTER,,42.0,30,BLISTER,42.0
ACT-SC,2024-11-01,HEALTH CENTER,,0.0,30,BLISTER,0.0
ACT-AD,2024-02-01,HEALTH CENTER,358.0,36.0,30,BLISTER,-322.0
ACT-AD,2024-02-01,REGIONAL HOSPITAL,,228.0,30,BLISTER,228.0
ACT-AD,2024-05-01,HEALTH CENTER,200.0,9.0,30,BLISTER,-191.0
ACT-GC,2025-02-01,HEALTH CENTER,,107.0,30,BLISTER,107.0
ACT-AD,2025-11-01,HEALTH CENTER,,161.0,30,BLISTER,161.0
ACT-GC,2025-02-01,HEALTH CENTER,,4475.0,30,BLISTER,4475.0
ACT-AD,2025-11-01,HEALTH CENTER,,0.0,30,BLISTER,0.0
ACT-GC,2024-08-01,HEALTH CENTER,,1.0,30,BLISTER,1.0
ACT-SC,2025-08-01,HEALTH CENTER,,0.0,30,BLISTER,0.0
ACT-GC,2024-05-01,HEALTH CENTER,,85.0,30,BLISTER,85.0
ACT-SC,2025-08-01,HEALTH CENTER,,11.0,30,BLISTER,11.0
