product_primary_name,processing_periods_name,facility_type_name,quantity_requested,quantity_approved,pack_size,dispensing_unit,allocation_gap
PYRA-COMP,2025-05-01,HEALTH CENTER,,0.0,1,TABLET,0.0
ACT-GC,2025-05-01,HEALTH CENTER,,620.0,30,BLISTER,620.0
ACT-AD,2024-02-01,HEALTH CENTER,,13.0,30,BLISTER,13.0
ART-SUP,2024-08-01,HEALTH CENTER,,0.0,2,CAPSULE,0.0
RDT,2024-02-01,HEALTH CENTER,,319.0,25,PIECE,319.0
ACT-SC,2024-05-01,HEALTH CENTER,,2.0,30,BLISTER,2.0
ACT-INF,2025-11-01,HEALTH CENTER,,12.0,30,BLISTER,12.0
ART-INJ,2025-08-01,HEALTH CENTER,,424.0,5,VIAL,424.0
ART-INJ,2024-02-01,HEALTH CENTER,,2398.0,5,VIAL,2398.0
RDT,2025-05-01,HEALTH CENTER,,0.0,25,PIECE,0.0
ACT-INF,2024-08-01,HEALTH CENTER,,499.0,30,BLISTER,499.0
ART-INJ,2025-08-01,HEALTH CENTER,,2677.0,5,VIAL,2677.0
ITN,2024-11-01,DISTRICT HOSPITAL,,241.0,50,PIECE,241.0
ART-INJ,2025-11-01,DISTRICT HOSPITAL,582.0,25.0,5,VIAL,-557.0
QUIN,2024-08-01,HEALTH CENTER,,1.0,1000,TABLET,1.0
ACT-GC,2024-02-01,HEALTH CENTER,,1106.0,30,BLISTER,1106.0
ART-SUP,2025-02-01,HEALTH CENTER,351.0,0.0,2,CAPSULE,-351.0
ITN,2025-08-01,HEALTH CENTER,,2287.0,50,PIECE,2287.0
ACT-GC,2025-05-01,HEALTH CENTER,,275.0,30,BLISTER,275.0
ACT-INF,2024-05-01,HEALTH CENTER,,405.0,30,BLISTER,405.0
SP,2024-02-01,HEALTH CENTER,,24.0,1000,TABLET,24.0
PYRA-SAC,2024-11-01,HEALTH CENTER,,78.0,1,SACHET,78.0
ACT-SC,2024-02-01,HEALTH CENTER,,2051.0,30,BLISTER,2051.0
ACT-GC,2024-05-01,HEALTH CENTER,,1188.0,30,BLISTER,1188.0
PYRA-COMP,2024-11-01,HEALTH CENTER,,9736.0,1,TABLET,9736.0
RDT,2024-02-01,HEALTH CENTER,620.0,734.0,25,PIECE,114.0
ART-SUP,2024-05-01,HEALTH CENTER,357.0,0.0,2,CAPSULE,-357.0
ACT-GC,2025-08-01,HEALTH CENTER,,59.0,30,BLISTER,59.0
SP,2025-11-01,HEALTH CENTER,,224.0,1000,TABLET,224.0
ACT-SC,2025-08-01,HEALTH CENTER,,707.0,30,BLISTER,707.0
ACT-AD,2025-02-01,HEALTH CENTER,2610.0,6403.0,30,BLISTER,3793.0
ART-INJ,2024-02-01,HEALTH CENTER,,269.0,5,VIAL,269.0
ITN,2024-08-01,HEALTH CENTER,,2059.0,50,PIECE,2059.0
ACT-GC,2024-02-01,HEALTH CENTER,302.0,1361.0,30,BLISTER,1059.0
