product_primary_name,processing_periods_name,facility_type_name,beginning_balance,quantity_received,quantity_dispensed,stock_in_hand,quantity_requested,quantity_approved,total_losses_and_adjustments,amc,pack_size,zone,dispensing_unit,diff
PYRA-COMP,2025-05-01,HEALTH CENTER,3510.0,6.0,437.0,1426.0,,0.0,246,151.0,1,DISTRICT28,TABLET,0.0
ACT-GC,2025-05-01,HEALTH CENTER,89.0,1.0,57.0,65.0,,620.0,209,20.0,30,DISTRICT28,BLISTER,620.0
ACT-AD,2024-02-01,HEALTH CENTER,4125.0,2604.0,1423.0,6554.0,,13.0,-179,1464.0,30,DISTRICT33,BLISTER,13.0
ART-SUP,2024-08-01,HEALTH CENTER,20.0,0.0,2.0,185.0,,0.0,-456,0.0,2,DISTRICT36,CAPSULE,0.0
RDT,2024-02-01,HEALTH CENTER,2243.0,0.0,535.0,2167.0,,319.0,420,583.0,25,DISTRICT15,PIECE,319.0
ACT-SC,2024-05-01,HEALTH CENTER,1346.0,0.0,82.0,600.0,,2.0,-278,33.0,30,DISTRICT16,BLISTER,2.0
ACT-INF,2025-11-01,HEALTH CENTER,796.0,418.0,244.0,453.0,,12.0,598,22.0,30,DISTRICT20,BLISTER,12.0
ART-INJ,2025-08-01,HEALTH CENTER,719.0,43.0,293.0,2401.0,,424.0,112,420.0,5,DISTRICT4,VIAL,424.0
ART-INJ,2024-02-01,HEALTH CENTER,885.0,0.0,268.0,541.0,,2398.0,461,82.0,5,DISTRICT21,VIAL,2398.0
RDT,2025-05-01,HEALTH CENTER,1.0,0.0,0.0,2.0,,0.0,-30,0.0,25,DISTRICT33,PIECE,0.0
ACT-INF,2024-08-01,HEALTH CENTER,173.0,0.0,42.0,852.0,,499.0,138,4.0,30,DISTRICT36,BLISTER,499.0
ART-INJ,2025-08-01,HEALTH CENTER,3435.0,2.0,875.0,1321.0,,2677.0,271,489.0,5,DISTRICT10,VIAL,2677.0
ITN,2024-11-01,DISTRICT HOSPITAL,211.0,0.0,17.0,173.0,,241.0,-745,36.0,50,DISTRICT25,PIECE,241.0
ART-INJ,2025-11-01,DISTRICT HOSPITAL,959.0,31.0,176.0,779.0,582.0,25.0,-483,53.0,5,DISTRICT28,VIAL,-557.0
QUIN,2024-08-01,HEALTH CENTER,23.0,0.0,51.0,1.0,,1.0,-209,72.0,1000,DISTRICT2,TABLET,1.0
ACT-GC,2024-02-01,HEALTH CENTER,983.0,0.0,225.0,1166.0,,1106.0,-109,90.0,30,DISTRICT5,BLISTER,1106.0
ART-SUP,2025-02-01,HEALTH CENTER,56.0,399.0,69.0,727.0,351.0,0.0,712,77.0,2,DISTRICT13,CAPSULE,-351.0
ITN,2025-08-01,HEALTH CENTER,3461.0,0.0,827.0,2041.0,,2287.0,-234,802.0,50,DISTRICT3,PIECE,2287.0
ACT-GC,2025-05-01,HEALTH CENTER,3960.0,0.0,558.0,1227.0,,275.0,8,126.0,30,DISTRICT32,BLISTER,275.0
ACT-INF,2024-05-01,HEALTH CENTER,7757.0,1215.0,1688.0,5216.0,,405.0,86,1441.0,30,DISTRICT25,BLISTER,405.0
SP,2024-02-01,HEALTH CENTER,432.0,0.0,98.0,153.0,,24.0,-407,92.0,1000,DISTRICT3,TABLET,24.0
PYRA-SAC,2024-11-01,HEALTH CENTER,4617.0,54.0,459.0,3797.0,,78.0,-104,299.0,1,DISTRICT30,SACHET,78.0
ACT-SC,2024-02-01,HEALTH CENTER,379.0,293.0,606.0,325.0,,2051.0,-256,351.0,30,DISTRICT5,BLISTER,2051.0
ACT-GC,2024-05-01,HEALTH CENTER,215.0,25.0,400.0,370.0,,1188.0,133,336.0,30,DISTRICT18,BLISTER,1188.0
PYRA-COMP,2024-11-01,HEALTH CENTER,2748.0,35.0,776.0,1642.0,,9736.0,-368,439.0,1,DISTRICT8,TABLET,9736.0
RDT,2024-02-01,HEALTH CENTER,722.0,0.0,61.0,367.0,620.0,734.0,-158,53.0,25,DISTRICT31,PIECE,114.0
ART-SUP,2024-05-01,HEALTH CENTER,12.0,0.0,50.0,39.0,357.0,0.0,-68,114.0,2,DISTRICT15,CAPSULE,-357.0
ACT-GC,2025-08-01,HEALTH CENTER,1470.0,10.0,165.0,1300.0,,59.0,160,101.0,30,DISTRICT15,BLISTER,59.0
SP,2025-11-01,HEALTH CENTER,1166.0,44.0,766.0,1867.0,,224.0,-246,644.0,1000,DISTRICT11,TABLET,224.0
ACT-SC,2025-08-01,HEALTH CENTER,1013.0,32.0,568.0,1007.0,,707.0,-34,779.0,30,DISTRICT30,BLISTER,707.0
ACT-AD,2025-02-01,HEALTH CENTER,1623.0,505.0,1202.0,1726.0,2610.0,6403.0,235,886.0,30,DISTRICT2,BLISTER,3793.0
ART-INJ,2024-02-01,HEALTH CENTER,5416.0,0.0,805.0,2971.0,,269.0,141,780.0,5,DISTRICT2,VIAL,269.0
ITN,2024-08-01,HEALTH CENTER,224.0,3.0,194.0,600.0,,2059.0,75,200.0,50,DISTRICT15,PIECE,2059.0
ACT-GC,2024-02-01,HEALTH CENTER,2609.0,0.0,708.0,495.0,302.0,1361.0,912,954.0,30,DISTRICT6,BLISTER,1059.0
ART-SUP,2025-05-01,HEALTH CENTER,409.0,0.0,164.0,95.0,,742.0,200,60.0,2,DISTRICT25,CAPSULE,742.0
SP,2025-08-01,HEALTH CENTER,4648.0,663.0,1309.0,4935.0,,92.0,-259,983.0,1000,DISTRICT1,TABLET,92.0
ACT-INF,2024-08-01,HEALTH CENTER,3173.0,46.0,600.0,3621.0,810.0,444.0,177,134.0,30,DISTRICT4,BLISTER,-366.0
ACT-INF,2025-05-01,HEALTH CENTER,488.0,3.0,296.0,934.0,,25.0,-566,65.0,30,DISTRICT7,BLISTER,25.0
ACT-AD,2025-05-01,HEALTH CENTER,665.0,7.0,218.0,1091.0,,10.0,439,78.0,30,DISTRICT1,BLISTER,10.0
PYRA-COMP,2025-08-01,HEALTH CENTER,658.0,0.0,140.0,205.0,,16.0,-610,25.0,1,DISTRICT28,TABLET,16.0
ACT-INF,2025-11-01,HEALTH CENTER,706.0,9.0,508.0,2228.0,575.0,2086.0,661,367.0,30,DISTRICT36,BLISTER,1511.0
PYRA-COMP,2025-11-01,HEALTH CENTER,627.0,201.0,90.0,640.0,,951.0,-168,112.0,1,DISTRICT29,TABLET,951.0
QUIN,2025-05-01,HEALTH CENTER,4948.0,69.0,1758.0,2663.0,,65.0,226,2105.0,1000,DISTRICT8,TABLET,65.0
ACT-AD,2024-11-01,DISTRICT HOSPITAL,340.0,122.0,284.0,84.0,,13294.0,-215,382.0,30,DISTRICT12,BLISTER,13294.0
ART-INJ,2025-05-01,HEALTH CENTER,536.0,289.0,573.0,1715.0,,35.0,-1089,285.0,5,DISTRICT5,VIAL,35.0
PYRA-COMP,2024-05-01,HEALTH CENTER,660.0,227.0,320.0,815.0,1606.0,230.0,-82,278.0,1,DISTRICT17,TABLET,-1376.0
ART-INJ,2025-02-01,HEALTH CENTER,6242.0,588.0,1440.0,4487.0,,1155.0,634,1852.0,5,DISTRICT10,VIAL,1155.0
ACT-AD,2024-05-01,HEALTH CENTER,3957.0,63.0,866.0,4544.0,,154.0,489,544.0,30,DISTRICT13,BLISTER,154.0
QUIN,2024-08-01,HEALTH CENTER,481.0,82.0,101.0,470.0,,153.0,-1029,41.0,1000,DISTRICT25,TABLET,153.0
ACT-INF,2025-08-01,HEALTH CENTER,1445.0,0.0,255.0,1906.0,,0.0,-94,215.0,30,DISTRICT20,BLISTER,0.0
RDT,2024-05-01,HEALTH CENTER,627.0,13.0,56.0,625.0,,0.0,221,25.0,25,DISTRICT33,PIECE,0.0
ACT-INF,2024-11-01,HEALTH CENTER,908.0,2.0,29.0,633.0,,11.0,-795,10.0,30,DISTRICT32,BLISTER,11.0
ACT-GC,2025-02-01,HEALTH CENTER,417.0,24.0,237.0,341.0,983.0,3.0,405,257.0,30,DISTRICT8,BLISTER,-980.0
PYRA-SAC,2024-02-01,HEALTH CENTER,3.0,19.0,32.0,29.0,,114.0,-223,18.0,1,DISTRICT14,SACHET,114.0
ACT-SC,2024-05-01,HEALTH CENTER,122.0,0.0,233.0,220.0,,728.0,-102,307.0,30,DISTRICT1,BLISTER,728.0
ART-SUP,2024-08-01,HEALTH CENTER,946.0,87.0,439.0,1311.0,,9039.0,-715,487.0,2,DISTRICT18,CAPSULE,9039.0
ACT-SC,2025-11-01,HEALTH CENTER,3425.0,502.0,1398.0,5671.0,,0.0,173,1700.0,30,DISTRICT24,BLISTER,0.0
PYRA-COMP,2024-02-01,HEALTH CENTER,44.0,0.0,8.0,217.0,,7.0,-630,4.0,1,DISTRICT21,TABLET,7.0
ITN,2024-02-01,HEALTH CENTER,1601.0,26.0,307.0,1319.0,1958.0,42.0,-112,95.0,50,DISTRICT3,PIECE,-1916.0
RDT,2024-02-01,HEALTH CENTER,1826.0,29.0,315.0,1495.0,,1841.0,-632,193.0,25,DISTRICT20,PIECE,1841.0
SP,2025-08-01,HEALTH CENTER,1235.0,3.0,337.0,1392.0,,5.0,294,51.0,1000,DISTRICT38,TABLET,5.0
ACT-INF,2024-11-01,HEALTH CENTER,2189.0,56.0,1037.0,3698.0,,2447.0,461,753.0,30,DISTRICT10,BLISTER,2447.0
ART-SUP,2024-11-01,HEALTH CENTER,2691.0,175.0,215.0,3990.0,,0.0,-30,84.0,2,DISTRICT36,CAPSULE,0.0
SP,2025-05-01,HEALTH CENTER,74.0,0.0,29.0,130.0,,0.0,128,9.0,1000,DISTRICT31,TABLET,0.0
ACT-SC,2025-11-01,HEALTH CENTER,291.0,367.0,915.0,1866.0,,1372.0,-735,966.0,30,DISTRICT9,BLISTER,1372.0
ACT-AD,2024-02-01,HEALTH CENTER,1869.0,17.0,632.0,2183.0,,31.0,420,672.0,30,DISTRICT20,BLISTER,31.0
ART-SUP,2025-05-01,HEALTH CENTER,1848.0,1023.0,966.0,4438.0,,26.0,-617,869.0,2,DISTRICT38,CAPSULE,26.0
SP,2025-11-01,HEALTH CENTER,2709.0,343.0,351.0,2891.0,,0.0,-512,452.0,1000,DISTRICT4,TABLET,0.0
SP,2024-08-01,HEALTH CENTER,1665.0,5.0,161.0,840.0,,148.0,-123,70.0,1000,DISTRICT16,TABLET,148.0
ART-SUP,2024-11-01,HEALTH CENTER,1307.0,12.0,662.0,1016.0,777.0,7.0,-614,452.0,2,DISTRICT7,CAPSULE,-770.0
QUIN,2024-05-01,HEALTH CENTER,92.0,0.0,0.0,62.0,291.0,0.0,-303,0.0,1000,DISTRICT31,TABLET,-291.0
SP,2025-02-01,HEALTH CENTER,11.0,0.0,1.0,40.0,,0.0,71,1.0,1000,DISTRICT23,TABLET,0.0
ART-SUP,2024-05-01,HEALTH CENTER,1352.0,27.0,52.0,978.0,,0.0,-566,15.0,2,DISTRICT5,CAPSULE,0.0
PYRA-COMP,2025-02-01,HEALTH CENTER,1073.0,2100.0,422.0,1426.0,356.0,1.0,15,278.0,1,DISTRICT14,TABLET,-355.0
PYRA-COMP,2024-02-01,HEALTH CENTER,205.0,105.0,184.0,175.0,,8.0,-22,2.0,1,DISTRICT33,TABLET,8.0
