product_primaryname,processing_periods_name,facility_type_name,beginningbalance,quantityreceived,quantitydispensed,stockinhand,quantityrequested,quantityapproved,totallossesandadjustments,amc,packsize,zone,dispensingunit
PYRA-COMP,Nov 2025,HEALTH CENTER,23.0,26.0,10.0,,,0.0,814,1.0,2,DISTRICT31,TABLET
ACT-GC,May 2024,HEALTH CENTER,,696.0,1.0,11.0,,0.0,-319,0.0,30,DISTRICT24,BLISTER
ART-INJ,Aug 2025,HEALTH CENTER,,22.0,19.0,8.0,,,-154,7.0,2,DISTRICT8,VIAL
QUIN,Aug 2024,HEALTH CENTER,111.0,833.0,231.0,391.0,,1390.0,-170,,1000,DISTRICT26,TABLET
ART-INJ,Jun 2024,HEALTH CENTER,1040.0,0.0,,193.0,2270.0,513.0,76,,1000,DISTRICT29,VIAL
SP,May 2024,HEALTH CENTER,432.0,183.0,140.0,458.0,,0.0,334,72.0,30,DISTRICT14,TABLET
PYRA-COMP,Jan 2025,HEALTH CENTER,1490.0,56.0,490.0,1852.0,1576.0,741.0,200,373.0,30,DISTRICT37,TABLET
ACT-SC,Aug 2024,HEALTH CENTER,104.0,,43.0,566.0,,,669,36.0,1000,DISTRICT17,BLISTER
ART-INJ,Sep 2024,HEALTH CENTER,1721.0,417.0,384.0,2134.0,,0.0,40,54.0,25,DISTRICT20,VIAL
ITN,Jun 2025,HEALTH CENTER,12.0,18.0,11.0,8.0,209.0,1.0,-237,16.0,1,DISTRICT28,PIECE
PYRA-COMP,Feb 2024,HEALTH CENTER,703.0,,,,1628.0,1554.0,-167,,25,DISTRICT26,TABLET
ACT-INF,Mar 2025,HEALTH CENTER,3948.0,1586.0,1754.0,6404.0,1715.0,,77,1446.0,30,DISTRICT29,BLISTER
SP,Dec 2023,HEALTH CENTER,,2758.0,596.0,4027.0,,111.0,599,538.0,1000,DISTRICT15,TABLET
SP,Jul 2024,HEALTH CENTER,286.0,0.0,,183.0,,523.0,261,169.0,1000,DISTRICT19,TABLET
ACT-INF,Mar 2024,HEALTH CENTER,,,95.0,833.0,264.0,,-562,30.0,1000,DISTRICT23,BLISTER
ACT-SC,Feb 2025,HEALTH CENTER,351.0,0.0,72.0,,983.0,,708,,1,DISTRICT31,BLISTER
QUIN,Dec 2023,HEALTH CENTER,571.0,,233.0,,,,216,96.0,1000,DISTRICT3,TABLET
ACT-INF,Feb 2025,HEALTH CENTER,149.0,,27.0,233.0,,317.0,32,2.0,30,DISTRICT29,BLISTER
ITN,Feb 2025,HEALTH CENTER,5220.0,0.0,757.0,995.0,,780.0,-192,795.0,1,DISTRICT14,PIECE
ACT-SC,Oct 2025,HEALTH CENTER,48.0,0.0,2.0,60.0,129.0,,605,0.0,1,DISTRICT33,BLISTER
RDT,Apr 2024,HEALTH CENTER,53.0,0.0,,81.0,,3218.0,-309,137.0,25,DISTRICT5,PIECE
ACT-GC,Jun 2024,HEALTH CENTER,,0.0,184.0,837.0,,0.0,1212,69.0,1,DISTRICT32,BLISTER
ITN,Apr 2025,HEALTH CENTER,3.0,,4.0,,,187.0,-335,2.0,2,DISTRICT9,PIECE
ACT-SC,Feb 2025,HEALTH CENTER,207.0,168.0,70.0,,,24.0,-925,29.0,30,DISTRICT28,BLISTER
QUIN,Apr 2024,HEALTH CENTER,57.0,0.0,10.0,36.0,80.0,6.0,-69,0.0,1000,DISTRICT25,TABLET
ART-INJ,Mar 2024,HEALTH CENTER,56.0,1.0,135.0,700.0,887.0,,211,350.0,2,DISTRICT23,VIAL
ART-SUP,Jul 2025,HEALTH CENTER,2518.0,6.0,723.0,1379.0,340.0,0.0,69,,30,DISTRICT16,CAPSULE
RDT,Sep 2025,HEALTH CENTER,9196.0,23.0,1475.0,,,272.0,-771,2364.0,25,DISTRICT13,PIECE
ART-SUP,Nov 2025,DISTRICT HOSPITAL,1386.0,,,2464.0,,,106,521.0,2,DISTRICT23,CAPSULE
ART-INJ,Feb 2024,HEALTH CENTER,714.0,70.0,214.0,,,,808,68.0,30,DISTRICT15,VIAL
PYRA-SAC,Sep 2024,HEALTH CENTER,437.0,1.0,,247.0,,,68,,2,DISTRICT9,SACHET
QUIN,Oct 2025,HEALTH CENTER,,0.0,583.0,126.0,1230.0,3329.0,101,247.0,30,DISTRICT14,TABLET
QUIN,Dec 2023,HEALTH CENTER,1411.0,1.0,168.0,1122.0,,594.0,-1110,,1000,DISTRICT38,TABLET
ART-INJ,Jun 2025,HEALTH CENTER,321.0,,100.0,,,0.0,5,14.0,50,DISTRICT12,VIAL
ACT-INF,Feb 2025,HEALTH CENTER,3213.0,3.0,575.0,2164.0,,682.0,301,681.0,1000,DISTRICT31,BLISTER
ART-SUP,Jan 2025,HEALTH CENTER,,19.0,,331.0,,,361,82.0,5,DISTRICT37,CAPSULE
SP,Feb 2024,NATIONAL HOSPITAL,241.0,237.0,234.0,,,163.0,-55,,30,DISTRICT11,TABLET
RDT,Mar 2025,HEALTH CENTER,,1.0,37.0,57.0,542.0,2249.0,336,21.0,30,DISTRICT38,PIECE
ACT-GC,Dec 2023,HEALTH CENTER,325.0,28.0,21.0,,,6.0,235,27.0,1,DISTRICT4,BLISTER
