product_primary_name,processing_periods_name,facility_type_name,beginning_balance,quantity_received,quantity_dispensed,stock_in_hand,quantity_requested,quantity_approved,total_losses_and_adjustments,amc,pack_size,zone,dispensing_unit
PYRA-COMP,2025-05-01,HEALTH CENTER,290.0,22.0,10.0,980.0,,,313,2.0,1,DISTRICT25,TABLET
PYRA-COMP,2025-05-01,HEALTH CENTER,3510.0,6.0,437.0,1426.0,,0.0,246,151.0,1,DISTRICT28,TABLET
ART-INJ,2025-07-01,HEALTH CENTER,1744.0,4.0,409.0,1508.0,,7396.0,-978,681.0,5,DISTRICT28,VIAL
RDT,2025-04-01,HEALTH CENTER,3187.0,737.0,471.0,3934.0,,,345,340.0,25,DISTRICT2,PIECE
PYRA-COMP,2025-07-01,HEALTH CENTER,3665.0,0.0,706.0,2667.0,,5338.0,-1042,332.0,1,DISTRICT23,TABLET
ACT-GC,2025-04-01,HEALTH CENTER,17.0,11.0,35.0,20.0,,268.0,-34,44.0,30,DISTRICT36,BLISTER
ACT-SC,2025-07-01,HEALTH CENTER,1257.0,0.0,66.0,747.0,,,-374,25.0,30,DISTRICT28,BLISTER
QUIN,2023-12-01,HEALTH CENTER,789.0,0.0,160.0,1672.0,1484.0,79.0,720,90.0,1000,DISTRICT32,TABLET
ACT-GC,2025-05-01,HEALTH CENTER,89.0,1.0,57.0,65.0,,620.0,209,20.0,30,DISTRICT28,BLISTER
SP,2024-09-01,HEALTH CENTER,180.0,0.0,30.0,75.0,,0.0,728,29.0,1000,DISTRICT26,TABLET
ACT-AD,2024-02-01,HEALTH CENTER,4125.0,2604.0,1423.0,6554.0,,13.0,-179,1464.0,30,DISTRICT33,BLISTER
ACT-AD,2024-01-01,HEALTH CENTER,199.0,0.0,73.0,22.0,490.0,1.0,-251,58.0,30,DISTRICT31,BLISTER
ART-SUP,2024-08-01,HEALTH CENTER,20.0,0.0,2.0,185.0,,0.0,-456,0.0,2,DISTRICT36,CAPSULE
PYRA-SAC,2025-07-01,HEALTH CENTER,971.0,28.0,85.0,1789.0,726.0,2503.0,175,178.0,1,DISTRICT24,SACHET
RDT,2024-02-01,HEALTH CENTER,2243.0,0.0,535.0,2167.0,,319.0,420,583.0,25,DISTRICT15,PIECE
ACT-SC,2024-05-01,HEALTH CENTER,1346.0,0.0,82.0,600.0,,2.0,-278,33.0,30,DISTRICT16,BLISTER
ITN,2025-10-01,HEALTH CENTER,6263.0,0.0,558.0,6833.0,,60.0,355,507.0,50,DISTRICT35,PIECE
RDT,2024-04-01,DISTRICT HOSPITAL,1286.0,0.0,481.0,1297.0,,1121.0,380,581.0,25,DISTRICT9,PIECE
QUIN,2024-11-01,HEALTH CENTER,443.0,1.0,207.0,334.0,,,165,133.0,1000,DISTRICT23,TABLET
ACT-INF,2025-11-01,HEALTH CENTER,796.0,418.0,244.0,453.0,,12.0,598,22.0,30,DISTRICT20,BLISTER
ACT-INF,2024-01-01,HEALTH CENTER,1573.0,0.0,3.0,219.0,,0.0,107,1.0,30,DISTRICT9,BLISTER
SP,2024-01-01,HEALTH CENTER,2667.0,241.0,960.0,1373.0,,,-212,450.0,1000,DISTRICT21,TABLET
ART-INJ,2025-08-01,HEALTH CENTER,719.0,43.0,293.0,2401.0,,424.0,112,420.0,5,DISTRICT4,VIAL
RDT,2024-01-01,HEALTH CENTER,60.0,0.0,2.0,69.0,,,-111,5.0,25,DISTRICT36,PIECE
ART-INJ,2024-02-01,HEALTH CENTER,885.0,0.0,268.0,541.0,,2398.0,461,82.0,5,DISTRICT21,VIAL
