,beginning_balance,quantity_received,quantity_dispensed,total_losses_and_adjustments,stock_in_hand,months_of_stock,amc,product_group_ART,product_group_DIAG,product_group_PREV,product_group_PYRA,product_group_SP,facility_type_HOSPITAL,reporting_month_February,reporting_month_May,reporting_month_November,zone_type_URBAN,High_Transmission_Preparation_YES,stock_status_Critical,stock_status_Low,stock_status_Overstock,stock_status_Stockout
2839,560.0,1002.0,381.0,-179,1456.0,6.2,233.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
5726,2928.0,746.0,854.0,-545,3548.0,2.6,1374.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
5590,1134.0,154.0,467.0,-569,2469.0,8.9,277.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2726,8559.0,66.0,1795.0,-236,6138.0,2.6,2361.0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
6219,544.0,0.0,16.0,-258,300.0,100.0,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
2928,234.0,0.0,155.0,-448,566.0,10.9,52.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2206,1422.0,325.0,405.0,698,3136.0,8.1,386.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
5337,1172.0,180.0,772.0,717,1058.0,1.1,977.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3156,2331.0,0.0,698.0,-274,1268.0,3.5,361.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
4767,0.0,67.0,0.0,-361,9.0,9.0,1.0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
7140,1147.0,162.0,153.0,-6,1332.0,6.5,206.0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
3043,7.0,27.0,15.0,-667,34.0,34.0,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1006,518.0,270.0,448.0,-553,1579.0,5.4,295.0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0
4327,1738.0,37.0,545.0,-342,421.0,1.6,257.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2965,68.0,277.0,184.0,460,177.0,1.2,145.0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
5156,62.0,5.0,10.0,-250,115.0,7.2,16.0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0
7592,878.0,0.0,820.0,-244,1365.0,3.7,366.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2051,1018.0,0.0,231.0,113,614.0,6.1,100.0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0
2512,800.0,0.0,210.0,549,268.0,1.5,184.0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
194,144.0,593.0,114.0,8,1044.0,17.7,59.0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0
867,642.0,1280.0,85.0,-439,2546.0,45.5,56.0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
4990,1792.0,91.0,599.0,-301,348.0,0.6,550.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
5378,683.0,10.0,33.0,-1,229.0,7.2,32.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
6871,121.0,30.0,135.0,-4,542.0,38.7,14.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
5853,2815.0,35.0,132.0,-197,2157.0,5.3,408.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
7328,569.0,502.0,642.0,216,745.0,0.8,909.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
6495,2450.0,85.0,793.0,-302,2116.0,1.9,1093.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
7334,417.0,27.0,100.0,-466,242.0,3.4,71.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
1084,922.0,40.0,623.0,68,1329.0,5.4,248.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
4851,484.0,290.0,351.0,441,2701.0,3.6,745.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4082,707.0,502.0,307.0,856,4082.0,16.1,254.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
4827,1195.0,1149.0,500.0,-92,1506.0,7.9,190.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
5164,1191.0,11.0,210.0,-135,896.0,3.6,250.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7662,536.0,3.0,461.0,-70,771.0,1.6,474.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2881,618.0,405.0,187.0,-74,264.0,2.1,127.0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
8110,454.0,15.0,79.0,210,342.0,4.0,86.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6678,724.0,25.0,88.0,115,1759.0,351.8,5.0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
5493,339.0,2.0,712.0,-20,884.0,2.3,377.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2298,246.0,349.0,114.0,455,1567.0,10.4,151.0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
7824,1398.0,38.0,746.0,-677,735.0,1.2,632.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2329,10.0,1.0,100.0,91,15.0,0.1,197.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2895,73.0,0.0,9.0,332,108.0,108.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
491,745.0,0.0,153.0,-425,103.0,0.4,231.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4590,195.0,291.0,24.0,281,310.0,3.9,80.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
6824,1822.0,25.0,1098.0,-119,863.0,0.6,1443.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
4342,550.0,3.0,50.0,45,501.0,6.0,83.0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
7796,1301.0,3504.0,831.0,242,4609.0,5.3,870.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
4710,713.0,139.0,242.0,460,1524.0,25.8,59.0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
7988,521.0,0.0,124.0,100,11.0,0.0,245.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
618,276.0,0.0,83.0,-322,586.0,2.5,231.0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
5546,3411.0,0.0,196.0,-43,1958.0,18.6,105.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2653,3832.0,677.0,1015.0,-838,6571.0,6.4,1026.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
5781,1114.0,0.0,61.0,-338,251.0,5.2,48.0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
1285,735.0,87.0,221.0,267,1442.0,6.8,211.0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
3273,1456.0,1412.0,564.0,180,1803.0,4.5,405.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1433,4233.0,480.0,1555.0,-826,5522.0,4.2,1323.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2988,450.0,434.0,77.0,-952,817.0,26.4,31.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1205,437.0,146.0,88.0,-198,1487.0,10.1,147.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
6988,1029.0,30.0,180.0,-180,1207.0,75.4,16.0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
8373,1381.0,473.0,89.0,159,619.0,17.2,36.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
4546,77.0,0.0,4.0,-613,19.0,2.4,8.0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
5656,1439.0,0.0,109.0,91,1398.0,45.1,31.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
7779,1451.0,252.0,597.0,-601,1342.0,11.6,116.0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
7464,2472.0,636.0,405.0,-681,2008.0,19.3,104.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
7925,2719.0,1.0,210.0,62,2175.0,28.6,76.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
160,81.0,365.0,478.0,-81,184.0,0.4,461.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
5091,1274.0,263.0,277.0,237,446.0,1.1,419.0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0
8445,637.0,23.0,114.0,622,672.0,29.2,23.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
1832,3095.0,0.0,300.0,187,266.0,2.4,109.0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
2461,3719.0,540.0,858.0,-664,3313.0,2.8,1196.0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
287,304.0,1.0,599.0,-245,1152.0,2.9,394.0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
4799,301.0,0.0,244.0,-143,172.0,2.7,64.0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
150,3031.0,65.0,1019.0,371,1649.0,1.5,1127.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2636,50.0,293.0,17.0,329,70.0,11.7,6.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
5576,635.0,360.0,83.0,231,531.0,8.8,60.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
8332,2038.0,49.0,426.0,62,3385.0,16.4,207.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
6329,1812.0,1.0,318.0,385,491.0,5.1,97.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
3702,1776.0,1.0,538.0,-198,1994.0,6.3,315.0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
5657,795.0,7.0,83.0,-285,843.0,26.3,32.0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
6334,370.0,0.0,60.0,-249,414.0,27.6,15.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
2762,1698.0,20.0,667.0,77,3627.0,6.0,602.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
5013,523.0,0.0,143.0,-142,116.0,0.9,133.0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
5523,537.0,0.0,325.0,446,537.0,3.6,148.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2491,603.0,0.0,105.0,480,108.0,6.0,18.0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
4513,554.0,124.0,160.0,298,610.0,1.3,466.0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
3772,1498.0,228.0,401.0,-194,1781.0,19.4,92.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
5883,378.0,4.0,79.0,104,1446.0,144.6,10.0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
284,294.0,10.0,98.0,-362,301.0,2.4,126.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
8752,449.0,0.0,82.0,424,357.0,1.3,279.0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
899,1303.0,2.0,299.0,-931,683.0,2.2,314.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
4353,544.0,7.0,175.0,-194,197.0,6.2,32.0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
6057,842.0,0.0,188.0,117,147.0,1.3,110.0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
8298,1590.0,0.0,350.0,-118,384.0,12.8,30.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
4774,2526.0,24.0,457.0,-271,2811.0,3.9,726.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
8132,636.0,49.0,169.0,-541,884.0,6.4,138.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3301,509.0,4313.0,205.0,557,1281.0,14.7,87.0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
7162,96.0,0.0,9.0,-265,206.0,206.0,1.0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
7092,251.0,26.0,34.0,138,293.0,48.8,6.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
2765,263.0,0.0,36.0,492,1185.0,1185.0,1.0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
6962,297.0,4.0,182.0,-203,620.0,103.3,6.0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0
8507,835.0,2.0,276.0,-233,351.0,2.4,144.0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
2508,6420.0,143.0,1205.0,-704,6305.0,3.6,1747.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
7011,8.0,0.0,1.0,-129,2.0,2.0,1.0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
3823,107.0,1438.0,42.0,1318,591.0,9.7,61.0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0
6531,746.0,144.0,757.0,-643,554.0,1.2,477.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
6328,2008.0,0.0,645.0,-181,2083.0,12.7,164.0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
6388,337.0,969.0,221.0,248,656.0,5.7,115.0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0
