,quantity_approved
2839,448.0
5726,35.0
5590,400.0
2726,4450.0
6219,1.0
2928,0.0
2206,0.0
5337,3861.0
3156,589.0
4767,1.0
7140,0.0
3043,1.0
1006,80.0
4327,14697.0
2965,302.0
5156,138.0
7592,28.0
2051,4.0
2512,8071.0
194,140.0
867,0.0
4990,17939.0
5378,84.0
6871,1.0
5853,3.0
7328,240.0
6495,797.0
7334,2999.0
1084,0.0
4851,1543.0
4082,5.0
4827,0.0
5164,50.0
7662,149.0
2881,100.0
8110,1068.0
6678,50.0
5493,2204.0
2298,1866.0
7824,3211.0
2329,1124.0
2895,0.0
491,258.0
4590,24.0
6824,4960.0
4342,249.0
7796,5.0
4710,54.0
7988,3550.0
618,0.0
5546,0.0
2653,66.0
5781,108.0
1285,351.0
3273,613.0
1433,3240.0
2988,1.0
1205,285.0
6988,0.0
8373,104.0
4546,0.0
5656,0.0
7779,22.0
7464,804.0
7925,833.0
160,1196.0
5091,158.0
8445,0.0
1832,5.0
2461,1.0
287,2.0
4799,14.0
150,816.0
2636,48.0
5576,32.0
8332,0.0
6329,1841.0
3702,0.0
5657,0.0
6334,0.0
2762,16.0
5013,0.0
5523,1355.0
2491,0.0
4513,0.0
3772,0.0
5883,2.0
284,4.0
8752,169.0
899,235.0
4353,0.0
6057,13578.0
8298,3.0
4774,667.0
8132,0.0
3301,0.0
7162,0.0
7092,0.0
2765,0.0
6962,0.0
8507,8.0
2508,4152.0
7011,561.0
3823,0.0
6531,202.0
6328,521.0
6388,0.0
5578,0.0
3626,235.0
5456,949.0
1482,89.0
2671,4.0
775,0.0
2581,7177.0
1905,1763.0
3721,0.0
2359,418.0
1039,1027.0
3132,2014.0
4126,1052.0
488,10.0
8560,149.0
4906,6.0
3463,4935.0
6275,2.0
3040,74.0
6984,17.0
4802,0.0
6224,2.0
2007,969.0
4557,0.0
3642,4741.0
455,2859.0
274,253.0
2282,30.0
6737,575.0
7195,0.0
918,0.0
1530,38.0
1166,0.0
7933,2.0
6987,0.0
8502,0.0
7262,87.0
7068,17.0
4389,64.0
128,1603.0
842,0.0
3283,1316.0
3802,7000.0
4469,5728.0
7279,0.0
6485,292.0
2393,195.0
1508,530.0
3956,8314.0
6159,346.0
3496,7.0
6620,10.0
2193,355.0
512,0.0
8096,10.0
4456,237.0
759,0.0
3831,0.0
2846,20.0
8384,834.0
3020,5.0
8430,450.0
6308,0.0
6134,77.0
8310,0.0
5747,179.0
836,8628.0
7402,25.0
1847,0.0
153,23.0
7095,335.0
216,0.0
1335,7725.0
3787,0.0
2146,12468.0
5846,85.0
8613,624.0
5506,487.0
4137,0.0
2569,111.0
8289,0.0
5394,3.0
3340,538.0
250,0.0
600,10263.0
8290,27.0
8411,31.0
5713,0.0
4399,0.0
149,305.0
4258,1519.0
2235,9814.0
1984,43.0
1932,10.0
2148,0.0
2334,3.0
5375,771.0
6245,4233.0
5089,55.0
5386,0.0
3056,21.0
8193,1509.0
7882,15.0
5381,1353.0
1021,3964.0
6496,5697.0
7372,1627.0
7792,362.0
5300,57.0
926,110.0
6173,259.0
4186,1.0
1445,1447.0
262,16.0
6595,2885.0
1915,0.0
741,0.0
6493,603.0
5722,0.0
3012,0.0
3547,460.0
2174,17.0
6490,0.0
6285,9.0
8091,0.0
3732,1169.0
3916,0.0
7010,0.0
8309,0.0
7385,1351.0
2163,14.0
6562,0.0
780,18.0
1220,1.0
5326,201.0
5518,9.0
4072,822.0
3828,1020.0
7723,7165.0
4604,1.0
4030,9543.0
1919,0.0
240,127.0
2493,0.0
4276,0.0
2141,5257.0
7260,82.0
6922,0.0
4240,36.0
4220,279.0
7438,864.0
3993,556.0
755,15.0
7745,62.0
1415,1795.0
7787,41.0
6928,1.0
8705,17259.0
4623,0.0
717,0.0
4681,3417.0
4467,86.0
1733,118.0
2170,0.0
2635,39.0
2883,0.0
1156,453.0
5046,0.0
4144,1742.0
2159,1020.0
5610,1032.0
7522,931.0
6844,0.0
7236,27.0
5898,1281.0
4355,2858.0
5443,182.0
6194,2335.0
3159,363.0
3779,2453.0
1714,29.0
2398,0.0
4534,417.0
5416,1142.0
4897,17.0
4362,12.0
1240,223.0
3328,0.0
1469,2238.0
8353,332.0
2151,0.0
3220,12.0
3003,239.0
6256,24.0
2439,2527.0
1333,2.0
5652,6.0
4077,1284.0
860,8.0
2405,27.0
120,0.0
707,0.0
8695,4665.0
1498,0.0
8273,491.0
4903,0.0
6378,87.0
6864,4.0
6017,3290.0
6789,1.0
3208,548.0
1780,37.0
2805,2941.0
4711,1154.0
7418,1.0
6197,0.0
3045,292.0
8148,104.0
5793,47.0
8689,2.0
2125,585.0
5691,194.0
3589,1032.0
5521,115.0
7885,3.0
7516,54.0
3355,326.0
5530,0.0
2614,590.0
6729,0.0
6627,4.0
2568,15.0
1943,675.0
4040,21.0
1762,0.0
17,2287.0
1999,112.0
5460,92.0
3853,0.0
7151,329.0
3140,11276.0
7775,1703.0
6442,3079.0
8494,38.0
2549,0.0
7989,928.0
1075,1674.0
1585,278.0
7618,195.0
14,1.0
1618,612.0
4902,2482.0
1623,15.0
3690,8.0
2062,2655.0
7176,1337.0
8694,133.0
2136,140.0
1945,2131.0
4558,1059.0
7878,6278.0
4227,0.0
3771,9901.0
4457,5.0
7515,1753.0
5491,943.0
5243,13.0
6429,0.0
7470,1685.0
1742,93.0
7934,6.0
5163,685.0
5120,162.0
6550,108.0
1121,38.0
7096,14.0
2063,343.0
830,4683.0
4310,614.0
700,0.0
5241,137.0
6837,406.0
2237,3.0
5077,25.0
2949,4011.0
5338,2265.0
4775,1460.0
8011,1042.0
6847,1047.0
6355,2.0
3557,1072.0
5536,0.0
1535,0.0
4462,195.0
1574,1.0
2814,240.0
4581,0.0
4249,0.0
4883,207.0
7746,0.0
7,424.0
7932,0.0
807,0.0
4653,49.0
8320,10209.0
2623,342.0
10,499.0
7766,1.0
6066,2.0
1768,1.0
6535,0.0
534,24.0
2515,478.0
2303,1235.0
1024,37.0
1174,354.0
5696,0.0
3852,0.0
4005,0.0
2984,595.0
8349,0.0
7729,1.0
4655,145.0
4689,0.0
4769,0.0
4662,1.0
7404,185.0
1843,0.0
8199,0.0
6796,2874.0
2300,204.0
7257,17.0
1766,1.0
3713,77.0
1032,68.0
5961,1.0
386,2.0
5284,0.0
850,13.0
6945,174.0
418,95.0
2275,265.0
6639,56.0
6445,0.0
2898,0.0
8056,8.0
5824,13.0
1857,0.0
1198,505.0
8043,2675.0
4455,700.0
6938,1926.0
1234,4527.0
8085,2.0
5412,269.0
230,2001.0
6376,405.0
5019,0.0
8731,0.0
6216,0.0
7370,56.0
379,5869.0
7218,2734.0
5675,137.0
6506,440.0
8081,103.0
1322,251.0
4782,0.0
6427,1108.0
