product_primaryname,processing_periods_name,facility_type_name,beginningbalance,quantityreceived,quantitydispensed,stockinhand,quantityrequested,quantityapproved,totallossesandadjustments,amc,packsize,zone,dispensingunit
PYRA-COMP,May 2025,HEALTH CENTER,290.0,22.0,10.0,980.0,,,313,2.0,1,DISTRICT25,TABLET
PYRA-COMP,May 2025,HEALTH CENTER,3510.0,6.0,437.0,1426.0,,0.0,246,151.0,1,DISTRICT28,TABLET
ACT-GC,Nov 2025,HEALTH CENTER,125.0,,52.0,140.0,1433.0,,25,,30,DISTRICT1,BLISTER
PYRA-SAC,Dec 2024,HEALTH CENTER,1015.0,209.0,,533.0,810.0,327.0,408,,1,DISTRICT1,SACHET
SP,Jan 2024,HEALTH CENTER,2805.0,,528.0,,,730.0,42,448.0,1000,DISTRICT13,TABLET
ART-INJ,Jul 2025,HEALTH CENTER,1744.0,4.0,409.0,1508.0,,7396.0,-978,681.0,5,DISTRICT28,VIAL
RDT,Apr 2025,HEALTH CENTER,3187.0,737.0,471.0,3934.0,,,345,340.0,25,DISTRICT2,PIECE
ITN,Jan 2024,HEALTH CENTER,,,452.0,743.0,,3699.0,-769,121.0,50,DISTRICT28,PIECE
ART-INJ,Dec 2023,HEALTH CENTER,,0.0,,,,,133,0.0,5,DISTRICT8,VIAL
ACT-INF,Jan 2024,DISTRICT HOSPITAL,,,,,614.0,0.0,331,10.0,30,DISTRICT24,BLISTER
SP,Aug 2025,HEALTH CENTER,4.0,2.0,40.0,,,1.0,-264,4.0,1000,DISTRICT9,TABLET
PYRA-COMP,Jul 2025,HEALTH CENTER,3665.0,0.0,706.0,2667.0,,5338.0,-1042,332.0,1,DISTRICT23,TABLET
ACT-AD,Jul 2024,HEALTH CENTER,477.0,0.0,,2390.0,477.0,44.0,775,122.0,30,DISTRICT10,BLISTER
ACT-GC,Apr 2025,HEALTH CENTER,17.0,11.0,35.0,20.0,,268.0,-34,44.0,30,DISTRICT36,BLISTER
SP,May 2025,HEALTH CENTER,293.0,2.0,363.0,39.0,,6730.0,1216,,1000,DISTRICT25,TABLET
ACT-SC,Aug 2024,HEALTH CENTER,1876.0,,,2701.0,2297.0,3087.0,48,1292.0,30,DISTRICT8,BLISTER
ITN,Dec 2024,HEALTH CENTER,,0.0,,11.0,,2760.0,-209,352.0,50,DISTRICT32,PIECE
QUIN,Mar 2025,HEALTH CENTER,,513.0,253.0,,1037.0,548.0,-606,,1000,DISTRICT1,TABLET
ITN,Sep 2024,HEALTH CENTER,40.0,451.0,,608.0,,4.0,-502,9.0,50,DISTRICT25,PIECE
PYRA-COMP,Oct 2025,HEALTH CENTER,610.0,,108.0,,64.0,1.0,-523,34.0,1,DISTRICT18,TABLET
ACT-GC,May 2024,DISTRICT HOSPITAL,2002.0,0.0,343.0,1844.0,,434.0,252,,30,DISTRICT31,BLISTER
ACT-SC,Jul 2025,HEALTH CENTER,1257.0,0.0,66.0,747.0,,,-374,25.0,30,DISTRICT28,BLISTER
ACT-GC,Jul 2025,HEALTH CENTER,1171.0,1.0,187.0,,,48.0,-75,86.0,30,DISTRICT33,BLISTER
ACT-GC,Apr 2024,HEALTH CENTER,83.0,22.0,,,,1049.0,1387,21.0,30,DISTRICT16,BLISTER
PYRA-COMP,Mar 2025,HEALTH CENTER,1846.0,865.0,756.0,1321.0,,6.0,-5,,1,DISTRICT36,TABLET
QUIN,Dec 2023,HEALTH CENTER,789.0,0.0,160.0,1672.0,1484.0,79.0,720,90.0,1000,DISTRICT32,TABLET
ACT-GC,Jan 2025,HEALTH CENTER,809.0,1.0,18.0,,630.0,0.0,-232,54.0,30,DISTRICT26,BLISTER
ACT-GC,May 2025,HEALTH CENTER,89.0,1.0,57.0,65.0,,620.0,209,20.0,30,DISTRICT28,BLISTER
ACT-INF,Jun 2025,HEALTH CENTER,,1.0,129.0,574.0,,67.0,696,,30,DISTRICT9,BLISTER
ART-INJ,Jan 2024,HEALTH CENTER,389.0,114.0,,377.0,,0.0,-507,82.0,5,DISTRICT33,VIAL
QUIN,Apr 2025,HEALTH CENTER,,47.0,253.0,,1239.0,161.0,21,376.0,1000,DISTRICT24,TABLET
SP,Sep 2024,HEALTH CENTER,180.0,0.0,30.0,75.0,,0.0,728,29.0,1000,DISTRICT26,TABLET
ITN,Apr 2024,HEALTH CENTER,50.0,126.0,,2.0,,0.0,-95,0.0,50,DISTRICT19,PIECE
PYRA-COMP,Oct 2025,HEALTH CENTER,10481.0,337.0,1693.0,,126.0,0.0,324,,1,DISTRICT33,TABLET
PYRA-COMP,Jan 2024,HEALTH CENTER,2775.0,109.0,,1183.0,,,-358,380.0,1,DISTRICT1,TABLET
ART-INJ,Jun 2025,HEALTH CENTER,57.0,,30.0,,,0.0,-665,26.0,5,DISTRICT38,VIAL
ACT-AD,Feb 2024,HEALTH CENTER,4125.0,2604.0,1423.0,6554.0,,13.0,-179,1464.0,30,DISTRICT33,BLISTER
ACT-AD,Jan 2024,HEALTH CENTER,199.0,0.0,73.0,22.0,490.0,1.0,-251,58.0,30,DISTRICT31,BLISTER
ITN,Feb 2025,HEALTH CENTER,3.0,,17.0,327.0,,0.0,138,9.0,50,DISTRICT16,PIECE
ART-SUP,Nov 2024,HEALTH CENTER,,434.0,,,,1.0,-137,,2,DISTRICT8,CAPSULE
ART-SUP,Aug 2024,HEALTH CENTER,20.0,0.0,2.0,185.0,,0.0,-456,0.0,2,DISTRICT36,CAPSULE
QUIN,Jun 2024,HEALTH CENTER,1704.0,15.0,192.0,,671.0,,-373,357.0,1000,DISTRICT32,TABLET
ACT-AD,Jun 2025,HEALTH CENTER,5343.0,,900.0,1609.0,,9830.0,415,369.0,30,DISTRICT14,BLISTER
ART-INJ,May 2025,HEALTH CENTER,,103.0,78.0,,429.0,283.0,-626,26.0,5,DISTRICT28,VIAL
QUIN,Mar 2025,HEALTH CENTER,1832.0,1521.0,820.0,,1068.0,,-70,429.0,1000,DISTRICT4,TABLET
ART-INJ,Dec 2023,HEALTH CENTER,1748.0,0.0,47.0,,167.0,0.0,-597,,5,DISTRICT31,VIAL
ITN,Mar 2024,HEALTH CENTER,2377.0,,,665.0,,1.0,64,208.0,50,DISTRICT27,PIECE
ART-INJ,Nov 2024,HEALTH CENTER,95.0,,,168.0,,4364.0,-12,95.0,5,DISTRICT12,VIAL
PYRA-COMP,Jun 2024,HEALTH CENTER,,18.0,93.0,518.0,1003.0,24.0,539,27.0,1,DISTRICT22,TABLET
RDT,Sep 2025,HEALTH CENTER,263.0,,43.0,350.0,1471.0,0.0,-239,,25,DISTRICT9,PIECE
ACT-GC,Oct 2024,DISTRICT HOSPITAL,,0.0,155.0,107.0,,149.0,380,,30,DISTRICT1,BLISTER
QUIN,May 2024,HEALTH CENTER,2.0,1.0,,11.0,668.0,115.0,146,0.0,1000,DISTRICT32,TABLET
ART-INJ,Feb 2025,HEALTH CENTER,5431.0,0.0,347.0,2078.0,222.0,1.0,331,,5,DISTRICT2,VIAL
SP,Feb 2025,HEALTH CENTER,731.0,11.0,292.0,644.0,,,327,,1000,DISTRICT17,TABLET
ACT-INF,Dec 2023,HEALTH CENTER,83.0,,14.0,,189.0,0.0,-602,,30,DISTRICT19,BLISTER
PYRA-SAC,Jul 2025,HEALTH CENTER,971.0,28.0,85.0,1789.0,726.0,2503.0,175,178.0,1,DISTRICT24,SACHET
ACT-INF,Jan 2024,HEALTH CENTER,,19.0,,80.0,725.0,499.0,-322,104.0,30,DISTRICT17,BLISTER
RDT,Feb 2024,HEALTH CENTER,2243.0,0.0,535.0,2167.0,,319.0,420,583.0,25,DISTRICT15,PIECE
ACT-INF,Aug 2025,HEALTH CENTER,,0.0,,370.0,,153.0,419,27.0,30,DISTRICT32,BLISTER
SP,Jul 2024,HEALTH CENTER,223.0,69.0,610.0,339.0,,441.0,162,,1000,DISTRICT33,TABLET
QUIN,Nov 2024,DISTRICT HOSPITAL,,,,,793.0,4.0,-185,,1000,DISTRICT7,TABLET
QUIN,Dec 2024,HEALTH CENTER,,646.0,784.0,,,238.0,-91,,1000,DISTRICT9,TABLET
RDT,Oct 2025,HEALTH CENTER,,0.0,,488.0,,210.0,-310,222.0,25,DISTRICT20,PIECE
ART-INJ,Nov 2025,HEALTH CENTER,68.0,7.0,0.0,123.0,,1.0,226,,5,DISTRICT20,VIAL
ACT-GC,Oct 2025,HEALTH CENTER,6943.0,,1404.0,,,117.0,439,,30,DISTRICT26,BLISTER
PYRA-COMP,Dec 2024,HEALTH CENTER,,231.0,,3557.0,,,589,514.0,1,DISTRICT28,TABLET
ACT-AD,Nov 2024,HEALTH CENTER,,,39.0,,,22.0,-314,22.0,30,DISTRICT36,BLISTER
ACT-SC,Aug 2024,HEALTH CENTER,6197.0,780.0,,,,,-380,585.0,30,DISTRICT28,BLISTER
PYRA-COMP,Jan 2024,HEALTH CENTER,1581.0,24.0,,1640.0,,3592.0,273,369.0,1,DISTRICT17,TABLET
PYRA-COMP,Mar 2025,HEALTH CENTER,,3.0,66.0,540.0,,962.0,-260,329.0,1,DISTRICT37,TABLET
ART-SUP,Nov 2024,HEALTH CENTER,958.0,660.0,,,,282.0,-177,,2,DISTRICT15,CAPSULE
ART-INJ,Nov 2024,DISTRICT HOSPITAL,2973.0,323.0,638.0,,,70.0,525,533.0,5,DISTRICT25,VIAL
QUIN,Jul 2025,HEALTH CENTER,,2.0,28.0,350.0,,0.0,-313,,1000,DISTRICT11,TABLET
ACT-SC,May 2024,HEALTH CENTER,1346.0,0.0,82.0,600.0,,2.0,-278,33.0,30,DISTRICT16,BLISTER
ACT-GC,Oct 2025,HEALTH CENTER,1198.0,0.0,,1352.0,,22.0,-51,334.0,30,DISTRICT30,BLISTER
ITN,Oct 2025,HEALTH CENTER,6263.0,0.0,558.0,6833.0,,60.0,355,507.0,50,DISTRICT35,PIECE
ACT-GC,May 2024,HEALTH CENTER,901.0,,154.0,,,,-119,24.0,30,DISTRICT23,BLISTER
RDT,Oct 2025,HEALTH CENTER,4943.0,413.0,,1164.0,,22.0,-198,,25,DISTRICT12,PIECE
PYRA-SAC,Nov 2024,HEALTH CENTER,1814.0,4.0,221.0,,1680.0,,-858,43.0,1,DISTRICT26,SACHET
ACT-INF,Jul 2024,HEALTH CENTER,479.0,0.0,,332.0,79.0,0.0,-404,86.0,30,DISTRICT29,BLISTER
ACT-GC,Feb 2025,HEALTH CENTER,62.0,519.0,129.0,,,49.0,-127,68.0,30,DISTRICT20,BLISTER
PYRA-SAC,Apr 2025,HEALTH CENTER,1745.0,,273.0,,809.0,286.0,185,164.0,1,DISTRICT32,SACHET
ITN,May 2025,HEALTH CENTER,,0.0,1746.0,1748.0,,3467.0,-100,1211.0,50,DISTRICT28,PIECE
PYRA-SAC,Nov 2024,HEALTH CENTER,1497.0,,,1141.0,,1567.0,508,577.0,1,DISTRICT33,SACHET
ITN,Sep 2024,HEALTH CENTER,,0.0,148.0,,,231.0,-410,52.0,50,DISTRICT23,PIECE
QUIN,Oct 2024,HEALTH CENTER,,,37.0,1120.0,196.0,0.0,370,87.0,1000,DISTRICT11,TABLET
RDT,Sep 2024,HEALTH CENTER,526.0,,149.0,616.0,,0.0,1162,,25,DISTRICT24,PIECE
ACT-INF,Dec 2023,HEALTH CENTER,8961.0,1782.0,2133.0,,,,-833,1309.0,30,DISTRICT36,BLISTER
ACT-GC,Mar 2025,HEALTH CENTER,1007.0,,44.0,139.0,,1.0,350,,30,DISTRICT1,BLISTER
PYRA-SAC,Jan 2025,HEALTH CENTER,,533.0,192.0,1288.0,,0.0,265,,1,DISTRICT21,SACHET
SP,Sep 2024,HEALTH CENTER,644.0,,47.0,355.0,,,277,46.0,1000,DISTRICT32,TABLET
RDT,Apr 2024,DISTRICT HOSPITAL,1286.0,0.0,481.0,1297.0,,1121.0,380,581.0,25,DISTRICT9,PIECE
ITN,Nov 2025,HEALTH CENTER,,14.0,152.0,,,1.0,-466,74.0,50,DISTRICT8,PIECE
QUIN,Nov 2024,HEALTH CENTER,443.0,1.0,207.0,334.0,,,165,133.0,1000,DISTRICT23,TABLET
